old_group	old_target	status	new_group	new_target	profile	mapping	app_file	exclusion_reason
logging	Meshtiny_companion_radio_usb-logging	built	companion	Meshtiny_companion_radio_full	full	Meshtiny_companion_radio_usb -> Meshtiny_companion_radio_full (full_companion)	Meshtiny_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Minewsemi_me25ls01_companion_radio_full-logging	built	companion	Minewsemi_me25ls01_companion_radio_full	full		Minewsemi_me25ls01_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Minewsemi_me25ls01_companion_radio_usb-logging	built	companion	Minewsemi_me25ls01_companion_radio_full	full	Minewsemi_me25ls01_companion_radio_usb -> Minewsemi_me25ls01_companion_radio_full (full_companion)	Minewsemi_me25ls01_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Minewsemi_me25ls01_repeater-logging	built	repeater-room	Minewsemi_me25ls01_repeater	standard		Minewsemi_me25ls01_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Minewsemi_me25ls01_room_server-logging	built	repeater-room	Minewsemi_me25ls01_room_server	standard		Minewsemi_me25ls01_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Minewsemi_me25ls01_terminal_chat-logging	built	companion	Minewsemi_me25ls01_companion_radio_full	full	Minewsemi_me25ls01_terminal_chat -> Minewsemi_me25ls01_companion_radio_full (terminal_companion)	Minewsemi_me25ls01_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Nano_G2_Ultra_companion_radio_full-logging	built	companion	Nano_G2_Ultra_companion_radio_full	full		Nano_G2_Ultra_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Nano_G2_Ultra_companion_radio_usb-logging	built	companion	Nano_G2_Ultra_companion_radio_full	full	Nano_G2_Ultra_companion_radio_usb -> Nano_G2_Ultra_companion_radio_full (full_companion)	Nano_G2_Ultra_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Nano_G2_Ultra_repeater-logging	built	repeater-room	Nano_G2_Ultra_repeater	standard		Nano_G2_Ultra_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Nano_G2_Ultra_room_server-logging	built	repeater-room	Nano_G2_Ultra_room_server	standard		Nano_G2_Ultra_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	PicoW_companion_radio_usb-logging	built	companion	PicoW_companion_radio_usb	standard		PicoW_companion_radio_usb-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	PicoW_repeater-logging	excluded		PicoW_repeater				No qualified wireless infrastructure self-update path; omitted from the OTA-required release
logging	PicoW_room_server-logging	excluded		PicoW_room_server				No qualified wireless infrastructure self-update path; omitted from the OTA-required release
logging	PicoW_terminal_chat-logging	built	companion	PicoW_companion_radio_usb	standard	PicoW_terminal_chat -> PicoW_companion_radio_usb (terminal_companion)	PicoW_companion_radio_usb-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	ProMicro_companion_radio_full-logging	built	companion	ProMicro_companion_radio_full	full		ProMicro_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	ProMicro_companion_radio_usb-logging	built	companion	ProMicro_companion_radio_full	full	ProMicro_companion_radio_usb -> ProMicro_companion_radio_full (full_companion)	ProMicro_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	ProMicro_repeater-logging	built	repeater-room	ProMicro_repeater	standard		ProMicro_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	ProMicro_repeater_bridge_rs232_serial1-logging	built	repeater-room	ProMicro_repeater	standard	ProMicro_repeater_bridge_rs232_serial1 -> ProMicro_repeater (rs232)	ProMicro_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	ProMicro_room_server-logging	built	repeater-room	ProMicro_room_server	standard		ProMicro_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	ProMicro_sensor-logging	built	utility	ProMicro_sensor	standard		ProMicro_sensor-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	ProMicro_terminal_chat-logging	built	companion	ProMicro_companion_radio_full	full	ProMicro_terminal_chat -> ProMicro_companion_radio_full (terminal_companion)	ProMicro_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
